# Category classification table for HUC12 basins
# - the value corresponds to HUC12 attribute
# - the label uses HUC12 and Name values, currently hard-coded here because simple
# - old #ff3399 is pink
# - #663300 is brown
value,color,opacity,fillColor,fillOpacity,weight,label
101900060101,#663300,1.0,#663300,0.2,2,"101900060101, West Creek"
101900060102,#663300,1.0,#663300,0.2,2,"101900060102, Headwaters North Fork Big Thompson River"
101900060103,#663300,1.0,#663300,0.2,2,"101900060103, Miller Fork"
101900060104,#663300,1.0,#663300,0.2,2,"101900060104, Outlet North Fork Big Thompson River"
101900060201,#663300,1.0,#663300,0.2,2,"101900060201, Glacier Creek"
101900060202,#663300,1.0,#663300,0.2,2,"101900060202, Headwaters Big Thompson River"
101900060203,#663300,1.0,#663300,0.2,2,"101900060203, Wind River"
101900060204,#663300,1.0,#663300,0.2,2,"101900060204, Fall River"
101900060205,#663300,1.0,#663300,0.2,2,"101900060205, Black Canyon Creek"
101900060206,#663300,1.0,#663300,0.2,2,"101900060206, Fish Creek"
101900060207,#663300,1.0,#663300,0.2,2,"101900060207, Lake Estes-Big Thompson River"
101900060301,#663300,1.0,#663300,0.2,2,"101900060301, Upper Buckhorn Creek"
101900060302,#663300,1.0,#663300,0.2,2,"101900060302, Middle Buckhorn Creek"
101900060303,#663300,1.0,#663300,0.2,2,"101900060303, Redstone Creek"
101900060304,#663300,1.0,#663300,0.2,2,"101900060304, Lower Buckhorn Creek"
101900060401,#663300,1.0,#663300,0.2,2,"101900060401, West Fork Little Thompson River"
101900060402,#663300,1.0,#663300,0.2,2,"101900060402, Headwaters Little Thompson River"
101900060403,#663300,1.0,#663300,0.2,2,"101900060403, North Fork Little Thompson River"
101900060404,#663300,1.0,#663300,0.2,2,"101900060404, Dry Creek-Little Thompson River"
101900060501,#663300,1.0,#663300,0.2,2,"101900060501, Carter Lake Reservoir-Dry Creek"
101900060502,#663300,1.0,#663300,0.2,2,"101900060502, Ish Reservoir-Little Thompson River"
101900060503,#663300,1.0,#663300,0.2,2,"101900060503, Handy Reservoir-Little Thompson River"
101900060504,#663300,1.0,#663300,0.2,2,"101900060504, Outlet Little Thompson River"
101900060601,#663300,1.0,#663300,0.2,2,"101900060601, Cedar Creek"
101900060602,#663300,1.0,#663300,0.2,2,"101900060602, Dry Creek"
101900060603,#663300,1.0,#663300,0.2,2,"101900060603, Big Thompson Canyon-Big Thompson River"
101900060604,#663300,1.0,#663300,0.2,2,"101900060604, Mariano Reservoir-Big Thompson River"
101900060605,#663300,1.0,#663300,0.2,2,"101900060605, Boyd Lake-Big Thompson River"
101900060606,#663300,1.0,#663300,0.2,2,"101900060606, Johnstown Reservoir-Big Thompson River"
101900060607,#663300,1.0,#663300,0.2,2,"101900060607, Outlet Big Thompson River"

